"Date (UTC)","Timestamp (UTC)","75+ bps decrease","50 bps decrease","25 bps decrease","No Change","25+ bps increase","Other"
"08-03-2024 00:00","1722643202","0.125","0.27","0.315","0.215","0.025",""
"08-04-2024 00:00","1722729601","0.125","0.265","0.37","0.215","0.0225",""
"08-05-2024 00:00","1722816001","0.125","0.275","0.355","0.2","0.0225",""
"08-06-2024 00:00","1722902401","0.11","0.325","0.345","0.17","0.011",""
"08-07-2024 00:00","1722988801","0.105","0.275","0.38","0.13","0.0125",""
"08-08-2024 00:00","1723075201","0.095","0.31","0.4","0.15","0.014",""
"08-09-2024 00:00","1723161602","0.095","0.31","0.415","0.16","0.0135",""
"08-10-2024 00:00","1723248002","0.09","0.31","0.48","0.15","0.008",""
"08-11-2024 00:00","1723334401","0.085","0.305","0.47","0.15","0.006",""
"08-12-2024 00:00","1723420801","0.085","0.295","0.46","0.165","0.0065",""
"08-13-2024 00:00","1723507202","0.085","0.265","0.43","0.2","0.0065",""
"08-14-2024 00:00","1723593602","0.085","0.27","0.455","0.19","0.0065",""
"08-15-2024 00:00","1723680002","0.05","0.235","0.475","0.185","0.006",""
"08-16-2024 00:00","1723766402","0.045","0.24","0.485","0.205","0.009",""
"08-17-2024 00:00","1723852802","0.045","0.24","0.515","0.215","0.009",""
"08-18-2024 00:00","1723939202","0.0355","0.23","0.525","0.225","0.0075",""
"08-19-2024 00:00","1724025602","0.0375","0.225","0.525","0.215","0.0075",""
"08-20-2024 00:00","1724112001","0.0305","0.23","0.525","0.215","0.0075",""
"08-21-2024 00:00","1724198402","0.0315","0.23","0.505","0.21","0.0075",""
"08-22-2024 00:00","1724284802","0.0345","0.23","0.515","0.18","0.0075",""
"08-23-2024 00:00","1724371202","0.035","0.235","0.515","0.125","0.0075",""
"08-24-2024 00:00","1724457602","0.035","0.24","0.625","0.065","0.008",""
"08-25-2024 00:00","1724544001","0.0335","0.25","0.565","0.145","0.0105",""
"08-26-2024 00:00","1724630402","0.0335","0.245","0.555","0.125","0.009",""
"08-27-2024 00:00","1724716801","0.0365","0.245","0.555","0.115","0.009",""
"08-28-2024 00:00","1724803201","0.0365","0.245","0.555","0.12","0.0105",""
"08-29-2024 00:00","1724889602","0.0405","0.285","0.55","0.125","0.007",""
"08-30-2024 00:00","1724976002","0.037","0.285","0.555","0.125","0.0065",""
"08-31-2024 00:00","1725062402","0.037","0.285","0.555","0.115","0.0065",""
"09-01-2024 00:00","1725148802","0.0365","0.29","0.555","0.115","0.0065",""
"09-02-2024 00:00","1725235202","0.0385","0.29","0.555","0.115","0.0065",""
"09-03-2024 00:00","1725321602","0.0385","0.29","0.555","0.115","0.0065",""
"09-04-2024 00:00","1725408002","0.038","0.315","0.545","0.105","0.0065",""
"09-05-2024 00:00","1725494402","0.036","0.355","0.515","0.105","0.006",""
"09-06-2024 00:00","1725580802","0.0415","0.34","0.515","0.105","0.006",""
"09-07-2024 00:00","1725667202","0.0455","0.415","0.445","0.08","0.005",""
"09-08-2024 00:00","1725753602","0.0565","0.435","0.44","0.065","0.006",""
"09-09-2024 00:00","1725840001","0.0605","0.44","0.43","0.075","0.005",""
"09-10-2024 00:00","1725926402","0.06","0.455","0.425","0.065","0.005",""
"09-11-2024 00:00","1726012801","0.0465","0.465","0.445","0.055","0.004",""
"09-12-2024 00:00","1726099202","0.042","0.46","0.455","0.055","0.0035",""
"09-13-2024 00:00","1726185602","0.043","0.41","0.445","0.055","0.0035",""
"09-14-2024 00:00","1726272002","0.0475","0.425","0.475","0.065","0.0035",""
"09-15-2024 00:00","1726358402","0.043","0.445","0.465","0.055","0.005",""
"09-16-2024 00:00","1726444802","0.0495","0.445","0.455","0.07","0.0045",""
"09-17-2024 00:00","1726531202","0.051","0.45","0.435","0.065","0.004",""
"09-18-2024 00:00","1726617602","0.067","0.37","0.445","0.075","0.004",""
"09-19-2024 00:00","1726704001","0.0225","0.31","0.615","0.07","0.0025","0.0025"
"09-20-2024 00:00","1726790402","0.026","0.34","0.56","0.065","0.0025","0.0065"
"09-21-2024 00:00","1726876802","0.0205","0.425","0.515","0.06","0.002","0.003"
