"Date (UTC)","Timestamp (UTC)","50+ bps decrease","25 bps decrease","No change","25+ bps increase"
"08-01-2025 00:00","1754006409","0.11","0.575","0.385","0.06"
"08-02-2025 00:00","1754092809","0.07","0.58","0.34","0.03"
"08-03-2025 00:00","1754179208","0.065","0.58","0.325","0.0295"
"08-04-2025 00:00","1754265607","0.065","0.58","0.335","0.029"
"08-05-2025 00:00","1754352008","0.065","0.58","0.32","0.026"
"08-06-2025 00:00","1754438409","0.065","0.585","0.335","0.027"
"08-07-2025 00:00","1754524802","","","0.32",""
"08-07-2025 00:00","1754524803","","","","0.0285"
"08-07-2025 00:00","1754524808","","0.6","",""
"08-07-2025 00:00","1754524809","0.065","","",""
"08-08-2025 00:00","1754611204","","0.6","",""
"08-08-2025 00:00","1754611205","","","","0.029"
"08-08-2025 00:00","1754611208","","","0.32",""
"08-08-2025 00:00","1754611210","0.065","","",""
"08-09-2025 00:00","1754697602","0.065","","","0.028"
"08-09-2025 00:00","1754697610","","0.6","",""
"08-09-2025 00:00","1754697615","","","0.315",""
"08-10-2025 00:00","1754784004","","","0.315","0.027"
"08-10-2025 00:00","1754784008","","0.605","",""
"08-10-2025 00:00","1754784010","0.065","","",""
"08-11-2025 00:00","1754870402","","0.605","",""
"08-11-2025 00:00","1754870406","","","","0.027"
"08-11-2025 00:00","1754870407","0.065","","",""
"08-11-2025 00:00","1754870411","","","0.315",""
"08-12-2025 00:00","1754956804","","0.605","",""
"08-12-2025 00:00","1754956805","0.065","","",""
"08-12-2025 00:00","1754956806","","","0.315",""
"08-12-2025 00:00","1754956808","","","","0.027"
"08-13-2025 00:00","1755043205","0.055","","",""
"08-13-2025 00:00","1755043208","","","0.305",""
"08-13-2025 00:00","1755043209","","","","0.0195"
"08-13-2025 00:00","1755043214","","0.635","",""
"08-14-2025 00:00","1755129606","","","0.3",""
"08-14-2025 00:00","1755129607","","0.625","",""
"08-14-2025 00:00","1755129608","0.065","","","0.015"
"08-15-2025 00:00","1755216002","0.065","","",""
"08-15-2025 00:00","1755216006","","0.62","",""
