"Date (UTC)","Timestamp (UTC)","50+ bps decrease","25 bps decrease","No change","25+ bps increase"
"03-20-2025 00:00","1742428805","0.05","0.315","0.595","0.0355"
"03-21-2025 00:00","1742515205","0.055","0.325","0.585","0.0375"
"03-22-2025 00:00","1742601606","0.0385","0.355","0.595","0.0225"
"03-23-2025 00:00","1742688006","0.0475","0.355","0.585","0.021"
"03-24-2025 00:00","1742774405","0.051","0.345","0.585","0.0215"
"03-25-2025 00:00","1742860806","0.054","0.345","0.59","0.0215"
"03-26-2025 00:00","1742947205","0.0535","0.345","0.59","0.0215"
"03-27-2025 00:00","1743033606","0.0425","0.355","0.585","0.019"
"03-28-2025 00:00","1743120006","0.0535","0.355","0.575","0.017"
"03-29-2025 00:00","1743206406","0.04","0.375","0.575","0.018"
"03-30-2025 00:00","1743292806","0.041","0.375","0.575","0.019"
"03-31-2025 00:00","1743379205","0.041","0.385","0.565","0.0195"
"04-01-2025 00:00","1743465605","0.041","0.385","0.565","0.0195"
"04-02-2025 00:00","1743552006","0.046","0.495","0.415","0.0165"
"04-03-2025 00:00","1743638405","0.043","0.535","0.415","0.017"
"04-04-2025 00:00","1743724805","0.072","0.58","0.34","0.0135"
"04-05-2025 00:00","1743811205","0.075","0.57","0.32","0.016"
"04-06-2025 00:00","1743897605","0.0795","0.57","0.325","0.0165"
"04-07-2025 00:00","1743984006","0.0785","0.56","0.325","0.0195"
"04-08-2025 00:00","1744070406","0.083","0.545","0.29","0.038"
"04-09-2025 00:00","1744156806","0.085","0.57","0.295","0.0345"
"04-10-2025 00:00","1744243205","0.074","0.52","0.305","0.034"
"04-11-2025 00:00","1744329605","0.1115","0.55","0.3","0.033"
"04-12-2025 00:00","1744416006","0.115","0.545","0.3","0.0345"
"04-13-2025 00:00","1744502405","0.0995","0.545","0.305","0.035"
"04-14-2025 00:00","1744588805","0.103","0.545","0.295","0.038"
"04-15-2025 00:00","1744675205","0.105","0.54","0.29","0.0335"
"04-16-2025 00:00","1744761605","0.096","0.535","0.295","0.034"
"04-17-2025 00:00","1744848006","0.0975","0.525","0.325","0.0335"
"04-18-2025 00:00","1744934404","0.1","0.525","0.33","0.0335"
"04-19-2025 00:00","1745020806","0.1","0.53","0.335","0.0335"
"04-20-2025 00:00","1745107206","0.098","0.53","0.345","0.0335"
"04-21-2025 00:00","1745193606","0.0975","0.515","0.365","0.032"
"04-22-2025 00:00","1745280006","0.099","0.515","0.365","0.032"
"04-23-2025 00:00","1745366407","0.097","0.51","0.36","0.031"
"04-24-2025 00:00","1745452806","0.098","0.51","0.365","0.0305"
"04-25-2025 00:00","1745539206","0.0935","0.5","0.39","0.029"
"04-26-2025 00:00","1745625606","0.084","0.475","0.42","0.025"
"04-27-2025 00:00","1745712005","0.082","0.465","0.425","0.025"
"04-28-2025 00:00","1745798405","0.0815","0.47","0.425","0.0285"
"04-29-2025 00:00","1745884805","0.0725","0.51","0.395","0.0235"
"04-30-2025 00:00","1745971206","0.06","0.53","0.39","0.028"
"05-01-2025 00:00","1746057606","0.068","0.52","0.4","0.026"
"05-02-2025 00:00","1746144006","0.067","0.53","0.38","0.0275"
"05-03-2025 00:00","1746230406","0.067","0.43","0.46","0.028"
"05-04-2025 00:00","1746316805","0.0665","0.435","0.47","0.028"
"05-05-2025 00:00","1746403205","0.057","0.415","0.505","0.0245"
"05-06-2025 00:00","1746489606","0.055","0.415","0.485","0.0255"
