"Date (UTC)","Timestamp (UTC)","50+ bps decrease","25 bps decrease","No change","25+ bps increase"
"02-08-2025 00:00","1738972804","0.0395","0.295","0.635","0.0355"
"02-09-2025 00:00","1739059206","0.0395","0.31","0.635","0.0325"
"02-10-2025 00:00","1739145605","0.038","0.3","0.635","0.0335"
"02-11-2025 00:00","1739232004","0.0415","0.3","0.64","0.033"
"02-12-2025 00:00","1739318404","0.04","0.31","0.635","0.0285"
"02-13-2025 00:00","1739404804","0.017","0.26","0.685","0.029"
"02-14-2025 00:00","1739491205","0.0135","0.225","0.73","0.036"
"02-15-2025 00:00","1739577604","0.022","0.27","0.69","0.0305"
"02-16-2025 00:00","1739664004","0.0225","0.27","0.69","0.0265"
"02-17-2025 00:00","1739750404","0.031","0.265","0.685","0.0285"
"02-18-2025 00:00","1739836804","0.0245","0.295","0.665","0.0255"
"02-19-2025 00:00","1739923204","0.017","0.275","0.68","0.0215"
"02-20-2025 00:00","1740009604","0.0195","0.29","0.665","0.028"
"02-21-2025 00:00","1740096005","0.022","0.31","0.645","0.0225"
"02-22-2025 00:00","1740182405","0.0215","0.34","0.595","0.031"
"02-23-2025 00:00","1740268804","0.0205","0.34","0.615","0.03"
"02-24-2025 00:00","1740355204","0.0265","0.335","0.615","0.0295"
"02-25-2025 00:00","1740441604","0.021","0.345","0.605","0.0255"
"02-26-2025 00:00","1740528005","0.0275","0.44","0.5","0.0225"
"02-27-2025 00:00","1740614405","0.031","0.5","0.455","0.0195"
"02-28-2025 00:00","1740700805","0.0275","0.48","0.45","0.0195"
"03-01-2025 00:00","1740787205","0.0275","0.525","0.405","0.0195"
"03-02-2025 00:00","1740873605","0.0275","0.52","0.43","0.02"
"03-03-2025 00:00","1740960005","0.028","0.525","0.425","0.0205"
"03-04-2025 00:00","1741046405","0.0285","0.575","0.34","0.018"
"03-05-2025 00:00","1741132804","0.0285","0.57","0.385","0.0185"
"03-06-2025 00:00","1741219205","0.032","0.545","0.365","0.028"
"03-07-2025 00:00","1741305605","0.029","0.585","0.365","0.0225"
"03-08-2025 00:00","1741392005","0.035","0.63","0.315","0.0225"
"03-09-2025 00:00","1741478405","0.038","0.615","0.31","0.022"
"03-10-2025 00:00","1741564804","0.046","0.615","0.315","0.023"
"03-11-2025 00:00","1741651205","0.046","0.69","0.225","0.022"
"03-12-2025 00:00","1741737605","0.048","0.665","0.255","0.021"
"03-13-2025 00:00","1741824006","0.038","0.545","0.375","0.027"
"03-14-2025 00:00","1741910405","0.0415","0.59","0.345","0.023"
"03-15-2025 00:00","1741996804","0.0465","0.595","0.32","0.026"
