"Date (UTC)","Timestamp (UTC)","50+ bps decrease","25 bps decrease","No change","25+ bps increase"
"01-24-2025 00:00","1737676803","0.055","0.35","0.57","0.03"
"01-25-2025 00:00","1737763205","0.0375","0.345","0.605","0.017"
"01-26-2025 00:00","1737849604","0.0435","0.345","0.605","0.017"
"01-27-2025 00:00","1737936004","0.0365","0.345","0.605","0.0265"
"01-28-2025 00:00","1738022404","0.0335","0.325","0.63","0.0215"
"01-29-2025 00:00","1738108804","0.0245","0.305","0.655","0.0175"
"01-30-2025 00:00","1738195205","0.0265","0.25","0.715","0.016"
"01-31-2025 00:00","1738281604","0.028","0.25","0.71","0.0175"
"02-01-2025 00:00","1738368005","0.031","0.245","0.715","0.0175"
"02-02-2025 00:00","1738454404","0.0295","0.245","0.715","0.018"
"02-03-2025 00:00","1738540805","0.035","0.23","0.715","0.019"
"02-04-2025 00:00","1738627204","0.0335","0.23","0.71","0.0265"
"02-05-2025 00:00","1738713604","0.032","0.225","0.695","0.022"
"02-06-2025 00:00","1738800005","0.0325","0.255","0.685","0.022"
"02-07-2025 00:00","1738886404","0.028","0.245","0.715","0.019"
"02-08-2025 00:00","1738972804","0.0175","0.195","0.77","0.015"
"02-09-2025 00:00","1739059206","0.018","0.175","0.775","0.022"
"02-10-2025 00:00","1739145605","0.0195","0.175","0.775","0.022"
"02-11-2025 00:00","1739232004","0.019","0.175","0.775","0.024"
"02-12-2025 00:00","1739318404","0.0175","0.145","0.825","0.022"
"02-13-2025 00:00","1739404804","0.016","0.105","0.87","0.019"
"02-14-2025 00:00","1739491205","0.0135","0.125","0.845","0.0235"
"02-15-2025 00:00","1739577604","0.0115","0.145","0.82","0.02"
"02-16-2025 00:00","1739664004","0.011","0.135","0.84","0.0175"
"02-17-2025 00:00","1739750404","0.011","0.145","0.84","0.018"
"02-18-2025 00:00","1739836804","0.01","0.135","0.845","0.0155"
"02-19-2025 00:00","1739923204","0.0085","0.125","0.855","0.017"
"02-20-2025 00:00","1740009604","0.008","0.105","0.875","0.016"
"02-21-2025 00:00","1740096005","0.0115","0.145","0.83","0.015"
"02-22-2025 00:00","1740182405","0.0085","0.23","0.75","0.016"
"02-23-2025 00:00","1740268804","0.0075","0.21","0.77","0.0155"
"02-24-2025 00:00","1740355204","0.008","0.21","0.77","0.015"
"02-25-2025 00:00","1740441604","0.0085","0.2","0.775","0.0155"
"02-26-2025 00:00","1740528005","0.011","0.24","0.725","0.0155"
"02-27-2025 00:00","1740614405","0.018","0.21","0.74","0.0155"
"02-28-2025 00:00","1740700805","0.021","0.225","0.725","0.0145"
"03-01-2025 00:00","1740787205","0.023","0.27","0.69","0.0155"
"03-02-2025 00:00","1740873605","0.022","0.27","0.69","0.0155"
"03-03-2025 00:00","1740960005","0.0225","0.25","0.69","0.016"
"03-04-2025 00:00","1741046405","0.0255","0.39","0.565","0.015"
"03-05-2025 00:00","1741132804","0.022","0.385","0.565","0.0135"
"03-06-2025 00:00","1741219205","0.0235","0.375","0.565","0.0105"
"03-07-2025 00:00","1741305605","0.024","0.43","0.535","0.011"
