"Date (UTC)","Timestamp (UTC)","Cut–Cut–Pause","Cut–Cut–Cut","Cut–Pause–Cut","Cut–Pause–Pause","Other","Pause–Cut–Pause","Pause–Cut–Cut"
"10-01-2025 00:00","1759276803","","0.495","","","","",""
"10-01-2025 00:00","1759276807","0.495","","","","","",""
"10-01-2025 00:00","1759276808","","","0.495","","0.495","0.495","0.495"
"10-01-2025 00:00","1759276809","","","","0.495","","",""
"10-02-2025 00:00","1759363204","0.29","0.275","","","","","0.035"
"10-02-2025 00:00","1759363206","","","","","0.022","",""
"10-02-2025 00:00","1759363208","","","","","","0.035",""
"10-02-2025 00:00","1759363209","","","","0.165","","",""
"10-02-2025 00:00","1759363210","","","0.135","","","",""
"10-03-2025 00:00","1759449605","","","0.135","0.16","","",""
"10-03-2025 00:00","1759449606","0.325","","","","","",""
"10-03-2025 00:00","1759449608","","0.285","","","","0.0285",""
"10-03-2025 00:00","1759449609","","","","","0.022","",""
"10-03-2025 00:00","1759449611","","","","","","","0.0265"
"10-04-2025 00:00","1759536004","0.42","","","","","",""
"10-04-2025 00:00","1759536005","","","","0.17","","",""
"10-04-2025 00:00","1759536006","","0.28","","","","","0.0245"
"10-04-2025 00:00","1759536007","","","","","0.0245","",""
"10-04-2025 00:00","1759536009","","","","","","0.021",""
"10-04-2025 00:00","1759536010","","","0.13","","","",""
"10-05-2025 00:00","1759622402","","","","","0.025","",""
"10-05-2025 00:00","1759622403","","","0.095","","","0.02",""
"10-05-2025 00:00","1759622405","","","","0.17","","",""
"10-05-2025 00:00","1759622406","","0.285","","","","","0.0255"
"10-05-2025 00:00","1759622408","0.425","","","","","",""
"10-06-2025 00:00","1759708804","0.44","0.285","","0.165","","","0.0205"
"10-06-2025 00:00","1759708806","","","","","","0.021",""
"10-06-2025 00:00","1759708808","","","","","0.025","",""
"10-06-2025 00:00","1759708809","","","0.09","","","",""
"10-07-2025 00:00","1759795202","","","","","","","0.0295"
"10-07-2025 00:00","1759795204","","","","","","0.029",""
"10-07-2025 00:00","1759795205","","","0.075","","","",""
"10-07-2025 00:00","1759795206","","","","","0.0245","",""
"10-07-2025 00:00","1759795208","0.45","","","","","",""
"10-07-2025 00:00","1759795210","","","","0.15","","",""
"10-07-2025 00:00","1759795211","","0.275","","","","",""
"10-08-2025 00:00","1759881602","","","","0.115","","",""
