"Date (UTC)","Timestamp (UTC)","No announcement by December 31","Kevin Warsh","Kevin Hassett","Chris Waller","Scott Bessent","Michelle Bowman","Arthur Laffer","Larry Kudlow","Judy Shelton","Ron Paul","Howard Lutnick","Chamath Palihapitiya","Elon Musk","Roger W. Ferguson Jr."
"04-19-2025 00:00","1745020806","0.52","0.38","0.11","","","","0.065","0.07","0.07","0.03","","0.03","",""
"04-20-2025 00:00","1745107206","0.325","0.37","0.065","","","","0.065","0.06","0.055","0.0165","","0.0175","",""
"04-21-2025 00:00","1745193606","0.375","0.38","0.06","","","","0.065","0.06","0.055","0.0195","","0.019","",""
"04-22-2025 00:00","1745280006","0.405","0.37","0.045","","","","0.06","0.05","0.045","0.015","","0.0095","",""
"04-23-2025 00:00","1745366407","0.41","0.365","0.045","","","","0.05","0.045","0.0405","0.015","","0.009","",""
"04-24-2025 00:00","1745452806","0.415","0.365","0.04","","","","0.05","0.045","0.0445","0.015","","0.0095","",""
"04-25-2025 00:00","1745539206","0.425","0.365","0.04","","","","0.05","0.045","0.0445","0.015","","0.0095","",""
"04-26-2025 00:00","1745625606","0.455","0.355","0.04","","","","0.05","0.04","0.0375","0.015","","0.01","",""
"04-27-2025 00:00","1745712005","0.46","0.37","0.045","","","","0.05","0.04","0.039","0.015","","0.009","",""
"04-28-2025 00:00","1745798405","0.455","0.37","0.04","","","","0.05","0.04","0.039","0.015","","0.0075","",""
"04-29-2025 00:00","1745884805","0.49","0.37","0.0295","","","","0.045","0.04","0.032","0.015","","0.0075","",""
"04-30-2025 00:00","1745971206","0.49","0.37","0.036","","","","0.045","0.04","0.037","0.015","","0.0075","",""
"05-01-2025 00:00","1746057606","0.5","0.18","0.039","","","","0.043","0.04","0.039","0.016","","0.0085","",""
"05-02-2025 00:00","1746144006","0.505","0.285","0.04","","","","0.0435","0.04","0.039","0.016","","0.008","",""
"05-03-2025 00:00","1746230406","0.505","0.285","0.044","","","","0.036","0.0345","0.0385","0.016","","0.009","",""
"05-04-2025 00:00","1746316805","0.505","0.275","0.0385","","","","0.036","0.0345","0.0365","0.016","","0.009","",""
"05-05-2025 00:00","1746403205","0.515","0.28","0.0405","","","","0.036","0.0345","0.037","0.016","","0.009","",""
"05-06-2025 00:00","1746489606","0.515","0.285","0.032","","","","0.031","0.0345","0.0365","0.016","","0.0085","",""
"05-07-2025 00:00","1746576005","0.515","0.28","0.034","","","","0.016","0.0345","0.037","0.016","","0.0085","",""
"05-08-2025 00:00","1746662406","0.515","0.15","0.0325","","","","0.0125","0.0345","0.0375","0.016","","0.0085","",""
"05-09-2025 00:00","1746748807","0.68","0.185","0.0325","","","","0.0105","0.0345","0.035","0.016","","0.01","",""
"05-10-2025 00:00","1746835206","0.695","0.195","0.031","","","","0.011","0.0345","0.0355","0.016","","0.0095","",""
"05-11-2025 00:00","1746921606","0.695","0.185","0.033","","","","0.0105","0.035","0.0365","0.016","","0.0095","",""
"05-12-2025 00:00","1747008006","0.7","0.165","0.033","","","","0.0115","0.0345","0.037","0.016","","0.0095","",""
"05-13-2025 00:00","1747094406","0.685","0.175","0.033","","","","0.013","0.0345","0.0365","0.016","","0.009","",""
