Date,Title,0,0 (0 bps),1 (25 bps),10 (250 bps),11 (275 bps),12+ (300+ bps),2 (50 bps),25 bps decrease,25+ bps increase,3 (75 bps),4 (100 bps),5 (125 bps),50 bps decrease,50+ bps decrease,6 (150 bps),7 (175 bps),75+ bps decrease,8 (200 bps),8 or more (200+ bps),9 (225 bps),Arthur Laffer,Bill Pulte,Chamath Palihapitiya,Chris Waller,Christopher Waller,Cut-Pause-Cut,Cut–Cut–Cut,Cut–Cut–Pause,Cut–Pause–Cut,Cut–Pause–Pause,David Malpass,David Zervos,Elon Musk,Howard Lutnick,James Bullard,Janet Yellen,Jerome Powell,Judy Shelton,Kevin Hassett,Kevin Warsh,Larry Kudlow,Larry Lindsey,Lorie K. Logan,Marc Sumerlin,Michelle Bowman,No Change,No announcement by December 31,No change,No one nominated before 2027,Other,Pause–Cut–Cut,Pause–Cut–Pause,Philip Jefferson,Price,Rick Rieder,Roger W. Ferguson Jr.,Ron Paul,Scott Bessent,Stephen Miran
2024-08-03,Fed Interest Rates November 2024,,,,,,,,0.315,0.025,,,,0.27,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215,,,,,,,,,,,,,
2024-08-04,Fed Interest Rates November 2024,,,,,,,,0.37,0.0225,,,,0.265,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215,,,,,,,,,,,,,
2024-08-05,Fed Interest Rates November 2024,,,,,,,,0.355,0.0225,,,,0.275,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,
2024-08-06,Fed Interest Rates November 2024,,,,,,,,0.345,0.011,,,,0.325,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,
2024-08-07,Fed Interest Rates November 2024,,,,,,,,0.38,0.0125,,,,0.275,,,,0.105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,
2024-08-08,Fed Interest Rates November 2024,,,,,,,,0.4,0.014,,,,0.31,,,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,
2024-08-09,Fed Interest Rates November 2024,,,,,,,,0.415,0.0135,,,,0.31,,,,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,
2024-08-10,Fed Interest Rates November 2024,,,,,,,,0.48,0.008,,,,0.31,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,
2024-08-11,Fed Interest Rates November 2024,,,,,,,,0.47,0.006,,,,0.305,,,,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,
2024-08-12,Fed Interest Rates November 2024,,,,,,,,0.46,0.0065,,,,0.295,,,,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165,,,,,,,,,,,,,
2024-08-13,Fed Interest Rates November 2024,,,,,,,,0.43,0.0065,,,,0.265,,,,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,
2024-08-14,Fed Interest Rates November 2024,,,,,,,,0.455,0.0065,,,,0.27,,,,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,
2024-08-15,Fed Interest Rates November 2024,,,,,,,,0.475,0.006,,,,0.235,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.185,,,,,,,,,,,,,
2024-08-16,Fed Interest Rates November 2024,,,,,,,,0.485,0.009,,,,0.24,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205,,,,,,,,,,,,,
2024-08-17,Fed Interest Rates November 2024,,,,,,,,0.515,0.009,,,,0.24,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215,,,,,,,,,,,,,
2024-08-18,Fed Interest Rates November 2024,,,,,,,,0.525,0.0075,,,,0.23,,,,0.0355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225,,,,,,,,,,,,,
2024-08-19,Fed Interest Rates November 2024,,,,,,,,0.525,0.0075,,,,0.225,,,,0.0375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215,,,,,,,,,,,,,
2024-08-20,Fed Interest Rates November 2024,,,,,,,,0.525,0.0075,,,,0.23,,,,0.0305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215,,,,,,,,,,,,,
2024-08-21,Fed Interest Rates November 2024,,,,,,,,0.505,0.0075,,,,0.23,,,,0.0315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,
2024-08-22,Fed Interest Rates November 2024,,,,,,,,0.515,0.0075,,,,0.23,,,,0.0345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,
2024-08-23,Fed Interest Rates November 2024,,,,,,,,0.515,0.0075,,,,0.235,,,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,
