"Date (UTC)","Timestamp (UTC)","50+ bps decrease","25 bps decrease","No change","25+ bps increase"
"07-24-2025 00:00","1753315209","0.0655","0.465","0.455","0.0205"
"07-25-2025 00:00","1753401609","0.0635","0.46","0.45","0.0205"
"07-26-2025 00:00","1753488009","0.076","0.455","0.46","0.02"
"07-27-2025 00:00","1753574410","0.077","0.455","0.455","0.0195"
"07-28-2025 00:00","1753660809","0.0775","0.455","0.455","0.0195"
"07-29-2025 00:00","1753747210","0.0725","0.46","0.455","0.019"
"07-30-2025 00:00","1753833610","0.073","0.46","0.455","0.019"
"07-31-2025 00:00","1753920008","0.06","0.435","0.49","0.0205"
"08-01-2025 00:00","1754006409","0.057","0.42","0.52","0.017"
"08-02-2025 00:00","1754092809","0.0535","0.57","0.355","0.0165"
"08-03-2025 00:00","1754179208","0.057","0.575","0.355","0.017"
"08-04-2025 00:00","1754265607","0.0575","0.58","0.34","0.0175"
"08-05-2025 00:00","1754352008","0.054","0.57","0.35","0.017"
"08-06-2025 00:00","1754438409","0.0555","0.58","0.345","0.017"
"08-07-2025 00:00","1754524804","","0.57","0.345",""
"08-07-2025 00:00","1754524807","","","","0.0165"
"08-07-2025 00:00","1754524811","0.057","","",""
"08-08-2025 00:00","1754611205","","0.565","",""
"08-08-2025 00:00","1754611206","","","","0.0185"
"08-08-2025 00:00","1754611207","","","0.35",""
"08-08-2025 00:00","1754611209","0.058","","",""
"08-09-2025 00:00","1754697604","","0.575","",""
"08-09-2025 00:00","1754697607","0.058","","",""
"08-09-2025 00:00","1754697608","","","0.335",""
"08-09-2025 00:00","1754697611","","","","0.0185"
"08-10-2025 00:00","1754784007","","0.575","0.34","0.019"
"08-10-2025 00:00","1754784009","0.0585","","",""
"08-11-2025 00:00","1754870402","0.0575","0.575","",""
"08-11-2025 00:00","1754870407","","","0.355",""
"08-11-2025 00:00","1754870410","","","","0.0175"
"08-12-2025 00:00","1754956806","","","0.36",""
"08-12-2025 00:00","1754956807","","","","0.0175"
"08-12-2025 00:00","1754956808","","0.56","",""
"08-12-2025 00:00","1754956809","0.0675","","",""
"08-13-2025 00:00","1755043204","","","","0.016"
"08-13-2025 00:00","1755043209","","","0.365",""
"08-13-2025 00:00","1755043211","","0.555","",""
"08-13-2025 00:00","1755043214","0.0665","","",""
